Username,Firstname,Lastname,Middlename,Contactnumber, Campusname,Password,Userrole,DOB,Image,Major,DateOfGraduation,Address Line1,Address Line2,Zipcode,State,City,NUID
sharma.rishav@husky.neu.edu,Rishav,Sharma,R,8578914654,Boston,rishav81592,CurrentStudent,8/15/1992,C:/abc,EM,8/30/2020,34 Mass Avenue,Apt 15,2116,MA,Boston,5732
gupta.abhishek@husky.neu.edu,Abhishek,Gupta,A,8578914655,Boston,abhishek4394,CurrentStudent,4/3/1994,C:/abc,EM,8/30/2020,34 Mass Avenue,Apt 16,2116,MA,Boston,5732
manocha.kirti@husky.neu.edu,Kirti,Manocha,K,8578914655,Boston,kirti11290,CurrentStudent,11/2/1990,C:/abc,CS,8/30/2020,39 Hemenway,Apt 17,2123,MA,Boston,5732
manocha.parul@husky.neu.edu,Parul,Manocha,P,8578914656,Boston,parul112086,CurrentStudent,11/20/1986,C:/abc,CS,8/30/2020,39 Hemenway,Apt 18,2123,MA,Boston,5732
dhir.luv@husky.neu.edu,Luv,Dhir,L,8578914657,Boston,luv3594,CurrentStudent,3/5/1994,C:/abc,CS,8/30/2020,39 Hemenway,Apt 19,2123,MA,Boston,5732
joshi.robin@husky.neu.edu,Robin,Joshi,R,8578914658,Boston,robin62691,CurrentStudent,6/26/1991,C:/abc,CS,8/30/2020,39 Hemenway,Apt 20,2123,MA,Boston,5732
sharma.vivek@husky.neu.edu,Vivek,Sharma,V,8578914659,Boston,vivek9392,CurrentStudent,9/3/1992,C:/abc,CS,8/30/2020,39 Hemenway,Apt 21,2123,MA,Boston,5732
sharma.neetu@husky.neu.edu,Neetu,Sharma,N,8578914660,Boston,neetu3794,IncomingStudent,3/7/1994,C:/abc,CS,8/30/2020,HouseNb 711,Sector 11B,160011,Chandigarh,Chandigarh,5732
sarswat.manyu@husky.neu.edu,Manyu,Sarawat,M,8578914661,Boston,manyu5495,IncomingStudent,5/4/1995,C:/abc,CS,8/30/2020,HouseNb 712,Sector 11B,160011,Chandigarh,Chandigarh,5732
khanna.mahima@husky.neu.edu,Mahima,Khanna,M,8578914662,Boston,mahima2993,IncomingStudent,2/9/1993,C:/abc,CS,8/30/2020,HouseNb 723,Sector 11B,160011,Chandigarh,Chandigarh,5732
sharma.gazal@husky.neu.edu,Gazal,Sharma,G,8578914663,Boston,gazal7794,IncomingStudent,7/7/1994,C:/abc,IS,8/30/2020,HouseNb 714,Sector 11B,160011,Chandigarh,Chandigarh,5732
sharma.anmol@husky.neu.edu,Anmol ,Sharma,A,8578914664,Boston,anmol6694,IncomingStudent,6/6/1994,C:/abc,IS,8/30/2020,HouseNb 715,Sector 11B,160011,Chandigarh,Chandigarh,5732
dargan.vrinda@husky.neu.edu,Vrinda,Dargan,V,8578914665,Boston,vrinda5595,CurrentStudent,5/5/1995,C:/abc,IS,8/30/2020,115 St Stephen Street,Apt 22,2115,MA,Boston,5732
dargan.sanjana@husky.neu.edu,Sanjana,Dargan,S,8578914666,Boston,sanjana6692,IncomingStudent,6/6/1992,C:/abc,IS,8/30/2020,HouseNb 716,Sector 11B,160011,Chandigarh,Chandigarh,5732
vashisht.abhishek@husky.neu.edu,Abhishek,Vashisht,A,8578914667,Boston,abhishek4493,IncomingStudent,4/4/1993,C:/abc,IS,8/30/2020,HouseNb 717,Sector 11B,160011,Chandigarh,Chandigarh,5732
vashisht.sahil@husky.neu.edu,Sahil,Vashisht,S,8578914668,Boston,sahil3393,CurrentStudent,3/3/1993,C:/abc,EM,8/30/2020,115 St Stephen Street,Apt 23,2115,MA,Boston,5732
sharma.mehak@husky.neu.edu,Mehak,Sharma,M,8578914669,Boston,mehak31294,IncomingStudent,3/12/1994,C:/abc,EM,8/30/2020,HouseNb 718,Sector 11B,160011,Chandigarh,Chandigarh,5732
sharma.yatin@husky.neu.edu,Yatin,Sharma,Y,8578914670,Boston,yatin11390,CurrentStudent,11/3/1990,C:/abc,EM,8/30/2020,39 Hemenway,Apt 10,2123,MA,Boston,5732
gupta.jhalak@husky.neu.edu,Jhalak,Gupta,J,8578914671,Boston,jhalak3494,IncomingStudent,3/4/1994,C:/abc,EM,8/30/2020,HouseNb 719,Sector 11B,160011,Chandigarh,Chandigarh,5732
pulani.varun@husky.neu.edu,Varun,Pulani,V,8578914672,Boston,varun8793,IncomingStudent,8/7/1993,C:/abc,EM,8/30/2020,HouseNb 720,Sector 11B,160011,Chandigarh,Chandigarh,5732
pulani.komal@husky.neu.edu,Komal,Pulani,K,8578914673,Boston,komal1492,CurrentStudent,1/4/1992,C:/abc,CS,8/30/2020,115 St Stephen Street,Apt 24,2115,MA,Boston,5732
sharma.rahul@husky.neu.edu,Rahul,Sharma,R,8578914674,Boston,rahul2793,CurrentStudent,2/7/1993,C:/abc,CS,8/30/2020,34 Mass Avenue,Apt 25,2116,MA,Boston,5732
sharma.ritika@husky.neu.edu,Ritika,Sharma,R,8578914675,Boston,ritika21494,CurrentStudent,2/14/1994,C:/abc,CS,8/30/2020,115 St Stephen Street,Apt 26,2115,MA,Boston,5732
bawa.ruchit@husky.neu.edu,Ruchit ,Bawa,R,8578914676,Boston,ruchit81592,CurrentStudent,8/15/1992,C:/abc,CS,8/30/2020,39 Hemenway,Apt 27,2123,MA,Boston,5732
singh.ranveer@husky.neu.edu,Ranveer,Singh,R,8578914677,Boston,ranveer1692,IncomingStudent,1/6/1992,C:/abc,CS,8/30/2020,HouseNb 721,Sector 11B,160011,Chandigarh,Chandigarh,5732
singh.deepika@husky.neu.edu,Deepika,Singh,D,8578914678,Boston,deepika6793,IncomingStudent,6/7/1993,C:/abc,IS,8/30/2020,HouseNb 722,Sector 11B,160011,Chandigarh,Chandigarh,5732
kapoor.kareena@husky.neu.edu,Kareena,Kapoor,K,8578914679,Boston,kareena3794,IncomingStudent,3/7/1994,C:/abc,IS,8/30/2020,HouseNb 723,Sector 11B,160011,Chandigarh,Chandigarh,5732
kapoor.shahid@husky.neu.edu,Shahid,Kapoor,S,8578914680,Boston,shahis2194,CurrentStudent,2/1/1994,C:/abc,IS,8/30/2020,34 Mass Avenue,Apt 28,2116,MA,Boston,5732
"pathak,naman@husky.neu.edu",Naman,Pathak,N,8578914681,Boston,naman102594,CurrentStudent,10/25/1994,C:/abc,IS,8/30/2020,34 Mass Avenue,Apt 29,2116,MA,Boston,5732
sharma.ankush@husky.neu.edu,Ankush,Sharma,A,8578914682,Boston,ankush71096,IncomingStudent,7/10/1996,C:/abc,IS,8/30/2020,HouseNb 724,Sector 11B,160011,Chandigarh,Chandigarh,5732
singla.lovish@husky.neu.edu,Lovish,Singla,L,8578914683,Boston,lovish6492,CurrentStudent,6/4/1992,C:/abc,IS,8/30/2020,39 Hemenway,Apt 30,2123,MA,Boston,5732
sharma.naman@husky.neu.edu,Naman,Sharma,N,8578914684,Boston,naman4991,CurrentStudent,4/9/1991,C:/abc,CS,8/30/2020,39 Hemenway,Apt 31,2123,MA,Boston,5732
